text	type
不要让需要你的人觉得你太好，而是要让他觉得这个世界很美好。	
"我是个普通的投资人，近几网贷行业发展得很火热啊，虽然挺多负面，但是收益摆在这里。
      发现了各种奇怪的平台名，有的平台名竟然如此类似，比如“小宝金融”和“小宝金服”，一不小心就以为这是一个平台了。
1.看官网
两个平台有两个官网，分别是[url=www.babymoney.cn和www.19jf.cn]www.babymoney.cn和www.19jf.cn
2.看工商信用登记
两个公司备案不一样！！法定代表人一个是谢天来，另外一个是张晓滨。成立时间也不一样,小宝金融成立于2015年6月15日，小宝金服成立于2015年12月30日。两者相差半年时间。


3.看办公地址
小宝金融：深圳市南山区科苑南路3099号中国储能大厦34楼整层
小宝金服：深圳罗湖笋岗东路3012中民时代广场A座25楼
4.看公司投资项目
两者目前主要都是做车贷房贷为主，可笑的是他们的项目名称居然都是车小宝和房小宝。不知谁是李逵，谁是李鬼。

 

5.看平台投资金额
截止到2016年12月29日，小宝金融成交量在4亿5206万6590元，小宝金服成交量在3亿1784万元。两者相差1亿3千4百多万。


6.看平台背景以及关注度
从档案上分析：
小宝金融目前为华兴银行存管，实缴五千万，深圳市互联网金融商会任创会会员单位，在民生银行存管一千万风险保障金，深圳市花旗融资担保集团有限公司承保3000万元。以及平台关注人数为216人。
小宝金服目前无银行存管，实缴一个亿，获得深圳盈泰联合投资管理有限公司9310.00万元融资，风险准备金5000.0万元（无银行存管，水分或许比较大）。以及平台关注人数为38人。


7.关于负面

 
 

从百度搜索引擎看：小宝金融暂时没有什么负面。而小宝金服近期被人曝光，融资以及高返


综上所述：小宝金融和小宝金服确实有很多相似点，毕竟连名字一不小心都看错啦，但是确实是两个不同的网贷平台，大家要仔细鉴别哦。"	
我之前是投过小宝金融，感觉收益不错，而且到款及时，体验还挺好的。金服没有投过。。。	0
我投过小宝金融的新手红包，3000利息加上黄钻差不多200块吧，45天标。。后面就没续投了，平台太多，眼花缭乱的。	0
名字是挺像的，标的名字居然都是车小宝，房小宝什么的，这也太雷同了吧，如果不是在网贷行业混的久的人，一不小心就混淆了。还是相信有银行存管的，楼主，你投过小宝金融啊，体验怎么样？	0
也许是有点渊缘的。	0
多去查查看吧	0
你自己看清楚，小宝金融的全称叫：深圳小宝互联网金融服务有限公司，法人是谢天来，小宝金服的全称叫：深圳前海小宝互联网金融有限公司，多了前海二字，两个公司名字不一样，办公址也不一样，一个在前海，一个没有在，自己去启信宝查一下，同时两个的股东完全不同，各是一回事，风马牛不相及的平台，实力哪个强，并不是银行存管就强，小宝金服才风投融资了1.9亿元，风险保证金实际验资就是6千万，不要乱发表意见，瞎了眼在哪里乱说	0
陆金所，六金所，蓝金所，固金锁是不是一家的，请楼主继续分析一下。。。	0
"不是一家
 黑嘛，不正常，哪个平台没有被黑过"	0
怎么感觉楼主的语气好像搞针对。自己接触过这两平台？黑嘛也要专业点。	0
我之前也经常混淆，毕竟林子大了什么鸟都有，楼主说的挺好的，也没有针对哪个平台啊，楼上的你们好激动。是两个不同的网贷平台，想投的自己多了解就好了。	0
怎么说呢，我投过小宝金融，反正回款很及时，收益也不错。楼主说的小宝金融和小宝金服确实不是一个平台，老是有些人帖子都没看清就回复了，顶楼主。	0
p2p行业里的平台众多，名字类似的平台也有不少，选择平台之前还是先去工商备案查询确认一下较好。	0
"最近跟几个儿时朋友去腐败，洗澡的时候大家说起工作。大家一致同意毕业这几年得到最多的不是专业知识 而是认识的人和经历的事。人与人最大的区别就是待人接物方面。我作为一个标准的理工男这几年在这方面进步不大。
 
 反观儿时的发小不是有车有房 单位中层 就是自己做点小生意。一到逢年过节就是讨论改给领导 合作伙伴送点什么？ 顿时让我感觉“圈子不同 不能硬融”
 
 后来一个混的比较牛的朋友跟我说他两年前投资一个平台的股权，因为之前杭州有过不少这种众筹平台跑路的事件。所以对这种事比较敏感 我怕他骗了 细问之下才知道他投资了一家叫银多网的平台 。据称已经有两轮融资。就在12月26号刚刚对外宣布b轮。
 
 刚才我看了下 这次b轮融资方有五家机构 从这点来看银多网的老板陈宇和翟亮人脉就是比较强的。融资金额大概在4000+多万 说明大家都是对原有股东的信任及对平台用户有一定的考察。后来看了下在企信宝查询了了股东关系 看来投资人的数量还是真多啊。看来真是应了一句话 在家靠父母 出门靠朋友！不知道这么多人股东是否对平台有些影响！"	
股东多你也bb 你Y闲的蛋疼是吧	1
mdzz，连什么叫集体所有制都不懂就来发帖？	1
集体所有制是什么 你知道 你说说	0
股东多的最大问题是互相踢皮球	0
5楼 说的 皮球指的是什么呢？   银多现在都B轮了      入股银多的人  心里都乐开花了      没入股只有懊悔了	0
"皖平财富隐匿项目重大缺陷集资诈骗民事赔偿的处理方式
 
 1、项目拍卖，优先偿还存款资金，剩余拍卖款按照投资比例分配给众筹人和原债权人；
 
 2、如果项目拍卖的资金不足以偿还存款资金，则以皖平财富中介、开发公司和担保公司资产用于偿还，仍然不足的部分由王平、陶博及其集资诈骗的帮凶的个人资产承担连带赔偿，总之，优先偿还固定本息的存款人。
 
 3、如果项目拍卖的资金在足额偿还固定本息的存款后还有剩余，则剩余拍卖款可按照资金比例分配给众筹人和原债权人，该项目原债权人的权利主张完毕；
 
 
 4、如果拍卖款剩余部分在众筹人和原债权人之间分配后，众筹资金未能足额偿还，那么，可由法院根据众筹人未能如期赎回土地证承违约责任、众筹资金为非固定收益众筹人本身也需要必要的风险、以及有些众筹人本身可能也受到王平陶博等集资诈骗犯隐匿项目重大缺陷导致上当受骗等三个因素，分别判定不同的众筹人可以主张的民事赔偿金额，由王平、陶博及其集资诈骗的帮凶（帮凶请自重，我就不点名了）以个人财产承担连带赔偿责任。
 大致原则是：
 （1）知晓项目存在重大缺仍然投资、甚至还隐瞒缺陷诱骗其他投资人继续投资的，以集资诈骗的从犯论处，承担连带赔偿责任，典型代表是众筹负责人陶博，可能也包括QQ网名为野猪、大猫、古稀老人等陶博身边亲近的人；
 （2）被诈骗进行众筹投资的，承担浮动本息的部分责任，例如，可以获得80%的本金赔偿，具体赔偿比例由法院判决；
 （3）皖平财富限制提现后以胁迫恶意诱导转入的众筹资金，违背投资人本意，其众筹协议无效予以撤销，仍为固定本息存款。"	
皖平财富存款人报案群 515918592国家规定此类案件统一在受害人所在地的派出所报案，合肥本地的受害人到合肥报案，抓紧报案，尽快立案，拍卖大楼，存款人的钱很快就回来了。	
"好利网由于平台管理疏忽昨天导致没有区分各渠道专属链接导致大量重复交单，市场恶意竞争，虚假高返，现公司决定暂停所有渠道发标，谢谢大家的支持!
 
     以上是流传于各个投资群的一则消息，我们很多准客户，都提前充值，一个活动都组织的如此混乱，请问你们平台投资管理是什么水平，商道如人道，我们苦苦等了一天，账户都已充值，等来的，是活动停止，这种管理水平，言而无信，请问简总您本人作何感想？！这样的人品价值几何？！这样混乱的平台，谁会投资？谁敢投资！！"	1
不止这些，还有骗返的，冒充客服骗取投资者信任，要投资截图去领返现，请问这些人怎么知道投资者的详细资料的，严重怀疑是平台内部人泄漏的	1
无聊的话题，浪费老子时间！	
"大家还记得2013年著名的高息自融平台吗？高管队伍中有个叫做刘海新的漏网之鱼，之前被广大投友爆料8出来过。目前开了一家平台叫岁意迅，亏空连连，目前基本在停滞状态，员工工资也是拖欠不发。目前，平台岌岌可危，大户提现无法兑现，刘海新更是把平台更换了，逃避法律制裁。
 请看下：

股东1.JPG (109.9 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-29 10:49 上传


股东2.JPG (100.31 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-29 10:49 上传

 
 那么股东由绪青又是个什么货色呢？此人官司练练，公司多多，百度一搜就知道了，请看

有头.JPG (165.39 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-29 10:51 上传

 此人在青岛有多家实业公司，经营困难，对外吸收资金，也是举步维艰，提现无法处理。
 现在岁意迅内部人心惶惶，资深客服婷婷拉了很多投资人，自己也在投资，就连客服自己的提现，老板刘海新也不做处理，目前还在发标，借新还旧。
 
 大家一定要小心。如果不信，可以随时实地考察。"	1
"”岁意迅更换股东，原东方创投高管刘海新金蝉脱壳“澄清公告
 
 首先我司严正声明：本帖所发的信息内容均属实。我司一切出发点都是以还原事实真相为目的。
   
       对于今日网贷天眼名叫“爱在西元后”的用户恶意造谣诬陷损害我司名誉的行为，给广大投资者带来了不必要的信息干扰和误导，我司表示歉意，现特就此造谣信息予以回应：
   
       一、岁意讯全资引入新股东是为了为投资者带来更多选择、更好的资金、更安全的保障，也给公司带来良好的发展潜力和机遇。岁意讯创始人刘海新现任公司总经理，协助新股东共同运营平台，致力于将岁意讯打造成更加完美的P2P网络借贷信息中介平台。岁意讯官网有出详细公告。
   
       二、关于“原东方创投高管刘海新”，我司再次澄清：2013年7月18日，刘海新进入东方创投工作，在其担任行政助理一职，有劳动合同扫描件为证。所谓平台高管是在公司拥有决策权，法人代表，拥有股份的人，很显然刘海新并不是，况且东方创投出事后，他还积极配合经侦和帮助投资人进行维权。
   
       三、目前平台仍在正常运营，昨日还在发车贷项目，不存在亏空、停滞之说。员工工资每月15日正常发放，附件会提供本季度的工资单参考，大家也可直接咨询公司内部员工。
   
       四、平台目前还款正常，也并无大户提现无法兑现，如有疑问，也可联系我们的平台大户核实，投资大户yucen、Spurs2016、wjh19550330为配合公司澄清，特意提供的的平台账户明细截图，附件可看。
   
       五、岁意讯公司自成立以来，一直致力于制度管理，全体人员上下一心,团结协作，不断强化服务意识，细致周到的为每一位贷款客户作好车贷服务工作，不但得到了客户的满意和认可，同时也获得了各个合作方公司的肯定。资深客服婷婷现为客服主管，当事人也已澄清，投资款都有按时处理，并无作者所述情况。
   
       最后我们想表达的是，目前岁意讯运营一切正常，作者所述内容皆是污蔑，并无具体证据，如若继续，我司将严厉追究抹黑造谣者的法律责任和商誉损失！
 
 岁意讯运营团队
 2016年12月29日
 
 附件：http://www.p2peye.com/thread-917839-1-1.html"	
换股东的多多少少总归有点问题	1
乱七八糟的平台真多。。。。。	1
"原东方创投高管刘海新？之前人家平台好像早就澄清过http://www.suiyixun.com/index.php?ctl=notice&id=451
 没必要一直抓着不放，昨天人家平台也有在发车贷项目，我怎么没听过就停滞了，你是内部人员吗，为什么知道的那么清楚？我刚问人家平台客服美眉了，人家说工资已经发了啊！你说出来的东西有没有证据啊？"	0
上平台特意看了下标，车贷标信息还算透明的，就是借款人描述每个标都一模一样，不知道是平台太懒还是什么情况	0
内容不一样	
成天没事干的**，就会瞎逼逼，人家平台现在运行一切正常，最烦这种没事就刷存在感的**。	0
多多少少总归有点问题	1
"邓亮都自守了。还去举证自己的老板有罪。为什么那么多员工不去。偏偏刘老板要去呢。
 
 既然都去了法庭。就应该知道开平台的后果。为什么还要走邓老板的老路呢。"	
妈的，潮水退去时才知道究竟谁在裸游！	
"据投资人爆料，多美贷从9月份开始无法兑付，法人赵博宇失联，总经理周宁携公司部分债权出境，目前警方已经立案，平台累计交易额超过4亿元。多美贷前法人是崔春光，让这家跑路平台与爱投资也产生了千丝万缕的联系。
 
 据官网显示，多美贷实体公司为多美惠通（北京）网络科技有限公司，成立于2014年，是一个P2B互联网金融服务平台。
 
 所谓P2B，是个人对企业的一种贷款模式，针对中小微企业提供投融资服务。投资人基于对P2B平台的信任，通过P2B平台进行投资，获取固定投资收益回报。P2B平台则采取类似信托项目风控的方式，把关借款项目的质量及风险程度，并根据借款企业信用度要求其提供抵押或担保手段。可以看出，P2B模式的核心仍然是平台的风控技术和对借款项目的把关，投资者的投资也是出于对平台的信任。
 
 据投资人称，多美贷的工作人员介绍，公司对其借款人房产进行抵押，降低借款风险，而且他们只做北京大产权房产。
 
 投资人透露，多美贷还经常做活动，比如，在联通营业厅做了广告，一周年庆时，在北京爬行动物展活动中做推广等。
 
 
 
 此外，金融虎还发现，多美贷还宣传称“与北京农商银行签署《银企合作协议》”，获得了3亿元授信额度。
 
 
 投资人称，出于对平台的信任，把钱投了进去。起初，投资人能够按时拿到利息，但从9月份开始，平台频频出现问题。
 
    法人失联总经理跑路 警方已立案      
 投资人提供的报案材料显示，从9月初开始，平台频频出现异常，甚至出现无法正常进入APP的情况。当时多美贷工作人员称“有人恶意使用插件，造成普通客户无法提现，并承诺12月底会解决插件问题。”
 
 10月初，投资人称账户提现到不了账，多美贷工作人员称“第三方与银行升级，升级期间用的是备用通道，所以提现变慢，升级后会恢复正常。”
 
 11月初，投资人APP账户被冻结，无法提现。14日，工作人员称，多美投资公司法人赵博宇与负责放款的总经理周宁失踪，无法取得联系，投资人报案。
 
 投资人称，截至目前，在朝阳分局经济犯罪侦查大队报案，警方已受理此案。 从投资人提供的资料来看，此前已有经侦到现场取证，办公室只有稀少的员工和办公资料。
 （取证现场）（现场图片）
 
 金融虎拨打了多美贷的客服发现，电话仍然能够接通，但始终没有接通人工服务，在线客服没有人在线。
 
 
 另外，金融虎查询全国企业信用信息公示系统发现，多美贷多次变更营业场所，并且已在今年6月被北京市工商行政管理局朝阳分局列为异常经营名录，原因是“未按责令的期限公示有关企业信息”以及“通过登记的住所或者经营场所无法取得联系”。随后分别在7月和10月被移出。
 
 金融虎实地走访发现，工商信息所说的地址“北京市朝阳区甜水园东里2号”是一所居民区，也没有多美贷的营业场所。投资人透露，位于甜水园商务中心的办公场所已被物业收回。
 
 
    信披简陋 名实暗虚的第三方托管      
 金融虎登录官方网站发现，多美贷依然能正常注册、充值，“美秒计划”还能投资，且已为用户赚取收益的数字还在滚动。
 
 
 网站号称有第三方托管，金融虎在充值时发现，投资者并没有开通第三方账户，而是直接把钱打到首信易支付的账户中。 
 
 
 平台跑路后，多名投资人发现在多美贷账面上看到的余额与首信易真实余额不符，投资人称，在问题发生时，首信易支付没有报警，只是等投资人报警之后，配合公安机关调查取证。有投资人找到首信易支付，但因为没有和首信易支付签订资金托管协议， 无法起诉首信易托管不利。投资人称，目前冻结在首信易账户上的钱无法提现，但实际上这些被冻结的资金也已所剩无几。
 
 金融虎在“美秒计划”中找到了投资协议，发现只是多美贷与投资人签署的两方协议，并没有第三方托管的公司。
 
 
 此外，在定期项目中也是疑点重重。信息披露非常简单，非但没有透露借款人信息，甚至在抵押物信息的披露上还出现错误。比如，金融虎在“项目31556-05”中发现，抵押物为“原债务人名下位于北京市朝阳区经济技术开发区荣华南路的一套309.82平米的房产。”但实际上经济技术开发区荣华南路是位于北京市大兴区。
 
 
 作为回购保障的金鸿财富也是多美投资的关联公司，金鸿财富的法人是多美贷的法人赵博宇，疑似有自担保嫌疑。值得注意的是，金鸿财富也已被列入了异常经营名录。
 （金融虎注：因工商查询系统无法查询，故使用天眼查数据）
 
    谜团重重的原法人崔春光      
 金融虎查询发现，赵博宇和周宁拥有多美系和金鸿系多家公司，这些公司中，金鸿财富（北京）投资管理有限公司、北京多美投资管理有限公司、以及多美贷的实体公司多美惠通（北京）网络科技有限公司等等，前法人无一例外都是崔春光。而崔春光的身份恐怕没这么简单。
 北京多美投资管理有限公司多美惠通（北京）网络科技有限公司金鸿财富（北京）投资管理有限公司
 
 2015年5月，多美贷的法人由崔春光变更为现在的法人赵博宇，崔春光于2015年6月加入爱投资，负责爱投资资产的端，2015年7月增资扩股为爱投资小股东。有投资人称，多美贷内部员工透露崔春光加入爱投资时挪用了多美贷3000万元，但该消息未经证实。截至目前，工商资料显示崔春光仍然是爱投资的执行董事兼经理。从百度上查询的资料可以看出，在2016年5月到6月这半个多月的时间里，崔春光分别以多美贷总裁和爱投资的总裁身份出现在公众面前。
 
 
 在微博上，有网友称，“多美惠通公司前总裁还在赤峰继续融资”，这不由得让人想起今年10月，网名“照标镜”在网贷第三方平台爆料爱投资内蒙古赤峰项目涉嫌造假的消息。据悉，“照标镜”质疑称赤峰项目多家公司疑似空壳。而赤峰项目与崔春光有着密切的联系。 
 
 
 据当时爱投资董事长赵春霞的回应，2015年4月，赤峰五甲置业还款时出现困难，多美慈道收购了这笔债权。最终，在政府主导下，多美慈道控股了赤峰五甲置业，继续共同处置回款，目前该项目已进入尾声，多美慈道能够完全拿回本金及利息。崔春光作为多美慈道的股东，直接参与了该项目的处置过程。”
 
 而查询发现，崔春光曾是北京多美慈道企业管理有限公司的法人，同样也在10月24日变更了法人。也就是说，多美贷、多美慈道、爱投资都被崔春光密切联系在一起。如果赤峰项目真的是空壳公司，多美贷为这些空壳公司融资已经暴雷，那对爱投资来说，这些项目也存在很大的疑问。而崔春光通过离职和变更法人等办法，看起来已经完全脱离了与这些公司的关系。
 
 
 多美贷网站显示，截至目前， 平台累计成交金额超4.3亿，累计投资人数13041人。不少投资人正在组建维权群并发动投资人报案，投资人称，正等待警方的调查结果，但截至目前，警方调查还没有公布进展。"	1
爱投资赤峰项目估计是引狼入室了	1
和爱投资有关？	0
这个海真不清楚啊！！！	0
你去问问爱投资	0
火车站就有好多打着联通营业厅旗号搞的骗子活动	1
"碰到这种维权问题,最好拉拢其它的受害者,然后一起去警察局报案,这样效果可能会好点。
 目前我看好的平台有人人贷 要借钱网"	0
祝你们好运	0
要维权就要人多力量大	0
建议组建维权群一起维权	0
年底了啊！！！	0
多美贷在2016年11月份就已经跑路了！	1
赶紧报案吧，必须集体行动才能引起重视！	0
拓米金融，线下天瑞金融已经跑路了，赶紧去看看吧	1
"各位可以去现场看一看，老板已然跑路，CEO好像是余松涛，百度搜出来的

133.png (109.02 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-29 11:43 上传"	1
"加强监管啊，不能让这些骗子跑路
 公司所在当地金融办举报，公安局报案，如果有人组织，就参与。最终能够追回多少看公司还剩多少钱。钱不追回来可能性不大。毕竟这种投资，就是你瞄着人利息，人瞄着你本金的。目前我放2W在要借钱网和人人贷 看着还不错"	0
真的假的啊	0
已经有大量投资人无法兑付上门要债了，你可以去现场看看	1
报道不实哦，人家只是清盘退出，未跑路。	0
你是公司的托吧，现场已经有很多投资人无法兑付上门要债了，还在欺骗大家，你还有一点点良知吗	1
他是狗，没有良知，只有添屁眼的份！	
"网贷有风险，投资需谨慎啊！
 
 投资的时候一定要擦亮眼睛。
 
 还有监管真的要加强才好"	0
7月  撸过它家羊毛	
这平台不是刚刚对接完新浪支付还不到三个月？这就跑了？ 应该不会吧？	0
"金抽屉是不是雷了，26号[color=rgb(0, 0, 0) !important][url=http://baike.wdzj.com/doc-view-60.html]提现，现在还没到，电话打了两天无人接听，QQ也不回，提现的状态一直是待审核，但是27号和28号都有人在投，后面投的人小心了
投的了朋友一起维权吧"	1
估计又雷了	1
你这个心太大了吧！！！！	
土豪，这种小平台也敢投那么多	
金抽屉是有名的慢，3个工作日以上正常。	0
早就是预警提现困难的高危平台，楼主还敢上啊！	1
你都没提现到账，就来发帖，不是自己找死吗	
赶紧去现场有去现场拿到钱了	
这种小平台也敢投那么多	
估计危险了要 ！	1
你打400的电话有人接，客服说20号提现的还没结呢。	
有钱人！没办法！当做贡献了！	
楼主 赶快去平台拿钱去吧  不给的话 直接报警吧	
"这个事,除了它老板谁知道 不过,这种投资,风险自理。 理财就必须选择安全性高的平台"	0
一拖再拖。不知意欲何为。格尔美珠宝：深圳市罗湖区水贝水田一街10号7楼A座  大家建个群，一起过去了！	
都10天了   人去楼空了  19号的 都	1
赶快坐飞机去他们公司要钱，赶快赶快。。。。。。	1
"22号满标的。现在28号都还在审核，然后客户给不出答案。。直说等。等多久客户也不知道。这是不是在拖延着累计资金，然后跑路。
 
 而且标极具不透明，看不到任何借款人信息。借款怎么用，合同什么的都没··
 
 没有APP，没有托管。大家小心为妙。"	1
这就是总想刺激爱冒险，付出的惊人的代价。三无产品你买着放心？和一个不认识的人打招呼，弄不好自己还要挨一顿揍！！钱多了不想要，可以撒可以烧也可以沉入无底的大海，让人家骗的滋味好受？成天讲道义讲慈善的寺院，都在每天收化缘钱。想进疯人院？活腻了？砍死两个人，上天堂更快！	1
我是来看回复的，	
改名雷妈妈吧	
真的被警方限制了？	
投资有风险，；理财需谨慎	0
"这家平台，我有投。
 所以我来说几句，现在这家有活动，投标经常出现一些零头。所以新手标，经常会比较难满。但是满标后复审还是很快的。LZ的情况，应该是新手标一直差几百块，没有人去满标出现的情况。"	0
是已经满了的。。发了贴以后现在复审完了··	0
目前  复审完了。。	
敢投它的，都是不怕死的羊毛党，呵呵	1
"这个事,除了它老板谁知道 不过,这种投资,风险自理。"	0
感觉就是营销骗人的	1
8%的收益感觉不高嘛	0
确实不合理，标的当天要满，APP已经是基本配置，一个标的对应一个投资人，合同资料齐全的车贷	
圣诞活动1w返5%，4万车上。。。。	
	
"确实已经发公告了啊！！！
图片 1.png (171.14 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-27 22:27 上传"	
"萝卜章+银行面签环境 
 广发银行内部设计好的骗局，7亿贷款得到保全"	
不是说，只能做中介，不能保底的吗。	
浙商财险真诚信，广发银行大阴谋！在中国不兜底谁投？像拍拍贷迟早得垮！大家看看拍拍贷，多少年了，还是那熊样，一别看排名高，其实就一另类，没人看好它，自己倒挺得意，稳挣不赔，只管收钱，不管投资人死活，最终被投资人抛弃！	1
"你还别说，这样的平台，最多现在半死不活，但是永远死不了，投的人，也只是小部分人利益受到损失。毕竟，这种平台干净。
 多少平台，本来干的还不错，一个逾期，基本上几年白干，然后老板自己圈点钱，也跑了。
 
 拍拍贷这样的，在目前的环境下，能屹立不倒这就是原因。以后的事情，等有实力了，加强催收，提高客户满意度，有老客户照样能活的不错。"	
